"data_all_max","max_people","max_experiments","max_coords"
60.0235652082556,"p3","e11","x"
0.9064297035093,"p4","e11","y"
52.6025492928789,"p5","e11","z"
59.7429586683668,"p6","e11","x"
1.18215615186425,"p7","e11","y"
52.26926799638,"p8","e11","z"
60.2510058685345,"p9","e11","x"
1.07698323665775,"p10","e11","y"
52.0851149448881,"p1","e12","z"
59.8482010502684,"p2","e12","x"
1.83480831046057,"p3","e12","y"
51.3018763200083,"p4","e12","z"
59.521614313695,"p5","e12","x"
2.46375415965672,"p6","e12","y"
48.7247745617885,"p7","e12","z"
60.1305193004269,"p8","e12","x"
1.27527187316825,"p9","e12","y"
50.9112497974101,"p10","e12","z"
60.7222803005127,"p1","e13","x"
-0.0442439325873808,"p2","e13","y"
62.3697997820988,"p3","e13","z"
60.0022872607827,"p4","e13","x"
-0.0977624476584911,"p5","e13","y"
60.9836699393371,"p6","e13","z"
60.3750277090967,"p7","e13","x"
1.02666086986362,"p8","e13","y"
60.9674610543226,"p9","e13","z"
61.5410523208197,"p10","e13","x"
0.335012752665673,"p1","e14","y"
64.500342950818,"p2","e14","z"
60.5203069355388,"p3","e14","x"
-0.431548208099956,"p4","e14","y"
64.3070838286297,"p5","e14","z"
60.1790898237076,"p6","e14","x"
0.0278786793396438,"p7","e14","y"
60.091354539283,"p8","e14","z"
60.5278655305178,"p9","e14","x"
-0.237169605090042,"p10","e14","y"
64.9035898883313,"p1","e15","z"
59.9422269318226,"p2","e15","x"
0.610732578013083,"p3","e15","y"
62.4122672225784,"p4","e15","z"
60.5260175662914,"p5","e15","x"
0.308596197485022,"p6","e15","y"
64.5362835502561,"p7","e15","z"
61.1430029577537,"p8","e15","x"
-0.576224116410838,"p9","e15","y"
64.0030171171268,"p10","e15","z"
59.1479854044796,"p1","e16","x"
2.05751005584973,"p2","e16","y"
56.6015604782696,"p3","e16","z"
59.0694144596362,"p4","e16","x"
1.26500905788714,"p5","e16","y"
56.0623247979919,"p6","e16","z"
59.0100035352637,"p7","e16","x"
-0.143631127802995,"p8","e16","y"
56.3285409571665,"p9","e16","z"
59.2298676193717,"p10","e16","x"
1.3112395782972,"p1","e1","y"
54.1959871069734,"p2","e1","z"
59.3493919689365,"p3","e1","x"
0.240620042724902,"p4","e1","y"
56.4860268950978,"p5","e1","z"
58.9482594140688,"p6","e1","x"
0.828807281840284,"p7","e1","y"
54.2613140633133,"p8","e1","z"
59.1048676471915,"p9","e1","x"
1.07225158416027,"p10","e1","y"
54.5186499776371,"p1","e2","z"
58.9218471375298,"p2","e2","x"
2.3460511774696,"p3","e2","y"
54.8671259366975,"p4","e2","z"
58.6431241826848,"p5","e2","x"
1.5670658639737,"p6","e2","y"
55.8793688918709,"p7","e2","z"
59.8792807015975,"p8","e2","x"
1.43008738354543,"p9","e2","y"
56.6734262124863,"p10","e2","z"
58.9746505502777,"p1","e3","x"
1.62895036069584,"p2","e3","y"
60.5315957791807,"p3","e3","z"
59.2290365188692,"p4","e3","x"
0.164153577643385,"p5","e3","y"
56.758314499614,"p6","e3","z"
59.6627508448176,"p7","e3","x"
0.0814620880874969,"p8","e3","y"
56.6287766590144,"p9","e3","z"
59.3704468199744,"p10","e3","x"
-0.0639499427464825,"p1","e4","y"
55.1946908387841,"p2","e4","z"
59.9889945703793,"p3","e4","x"
-0.0932854387606046,"p4","e4","y"
53.4445149157285,"p5","e4","z"
59.8759273640278,"p6","e4","x"
-0.299752284259891,"p7","e4","y"
55.2262792663387,"p8","e4","z"
60.3364400691479,"p9","e4","x"
1.2039388472746,"p10","e4","y"
55.9021280708535,"p1","e5","z"
59.2111346757539,"p2","e5","x"
-0.325296844686303,"p3","e5","y"
56.2264648369384,"p4","e5","z"
59.8729755417407,"p5","e5","x"
0.105993979703903,"p6","e5","y"
54.5094366532859,"p7","e5","z"
59.543357652679,"p8","e5","x"
-0.117087235433746,"p9","e5","y"
58.2606607608038,"p10","e5","z"
59.9656472345507,"p1","e6","x"
0.703083351577462,"p2","e6","y"
57.702110516061,"p3","e6","z"
59.0540167695201,"p4","e6","x"
1.28936543703489,"p5","e6","y"
58.0178237535368,"p6","e6","z"
59.905151347754,"p7","e6","x"
-0.122678530618282,"p8","e6","y"
56.944080392563,"p9","e6","z"
59.2255258234788,"p10","e6","x"
0.11828687584996,"p1","e7","y"
57.7807089493915,"p2","e7","z"
59.2435441928398,"p3","e7","x"
-0.0113749820824369,"p4","e7","y"
55.2913338054176,"p5","e7","z"
59.3214857954747,"p6","e7","x"
-0.630932707495716,"p7","e7","y"
54.6513426260333,"p8","e7","z"
59.3139682555351,"p9","e7","x"
1.5315922996602,"p10","e7","y"
59.2373936844598,"p1","e8","z"
59.1781725701692,"p2","e8","x"
-0.796876884199637,"p3","e8","y"
54.7452142323827,"p4","e8","z"
61.1169695455547,"p5","e8","x"
0.619637713535501,"p6","e8","y"
56.5677548774106,"p7","e8","z"
